# f, real(s11_LNA), imag(s11_LNA), C1, C2, TU, TC, TS, real(s11_ant), imag(s11_ant), Gconn, Gbalun, Gground
5.000000000000000000e+01 -8.825499999999999578e-04 2.194052999999999976e-02 5.086169990000000141e+00 -1.530888229999999961e+00 1.884619145000000060e+02 -2.057243053999999916e+01 4.338821199999999823e-01 3.421764026202488984e-01 1.127761018627717743e-01 9.995954163533388170e-01 9.961743550768064059e-01 9.962695500025425810e-01
5.000610352000000347e+01 -8.789899999999999580e-04 2.193753999999999843e-02 5.085873320000000142e+00 -1.530855869999999896e+00 1.884599096599999939e+02 -2.056362013000000033e+01 4.360363999999999907e-01 3.421155088809853528e-01 1.122204499723324922e-01 9.995955382983866544e-01 9.961778248425980919e-01 9.962703998922090021e-01
5.001220702999999901e+01 -8.754400000000000072e-04 2.193455000000000057e-02 5.085576719999999717e+00 -1.530823540000000094e+00 1.884579053799999997e+02 -2.055481422000000080e+01 4.381912399999999819e-01 3.420538988531117708e-01 1.116651797456611611e-01 9.995956586726231219e-01 9.961812888608113647e-01 9.962712493542991155e-01
5.001831055000000248e+01 -8.718999999999999971e-04 2.193155999999999925e-02 5.085280179999999817e+00 -1.530791240000000109e+00 1.884559016700000029e+02 -2.054601282999999867e+01 4.403466500000000061e-01 3.419915733029967875e-01 1.111102900935809490e-01 9.995957774790262818e-01 9.961847471490613559e-01 9.962720983919324258e-01
5.002441405999999802e+01 -8.683599999999999869e-04 2.192857000000000139e-02 5.084983710000000379e+00 -1.530758960000000002e+00 1.884538985099999877e+02 -2.053721595000000022e+01 4.425026100000000184e-01 3.419285334033920210e-01 1.105557835628139529e-01 9.995958947197859379e-01 9.961881997022634661e-01 9.962729470026623346e-01
5.003051758000000149e+01 -8.648199999999999768e-04 2.192558000000000007e-02 5.084687309999999627e+00 -1.530726709999999935e+00 1.884518959099999904e+02 -2.052842357000000106e+01 4.446591300000000135e-01 3.418647799165089873e-01 1.100016590629487867e-01 9.995960103978613898e-01 9.961916465379661023e-01 9.962737951896047939e-01
5.003662108999999703e+01 -8.612799999999999666e-04 2.192258999999999874e-02 5.084390970000000287e+00 -1.530694489999999908e+00 1.884498938700000110e+02 -2.051963570999999931e+01 4.468162099999999914e-01 3.418003140202860446e-01 1.094479191344612662e-01 9.995961245154452168e-01 9.961950876511085351e-01 9.962746429503154255e-01
5.004272461000000050e+01 -8.577500000000000055e-04 2.191960000000000089e-02 5.084094709999999573e+00 -1.530662289999999981e+00 1.884478923899999927e+02 -2.051085235000000040e+01 4.489738500000000077e-01 3.417351364727670981e-01 1.088945626857158455e-01 9.995962370754801762e-01 9.961985230591847706e-01 9.962754902879065178e-01
5.004882812000000314e+01 -8.542299999999999850e-04 2.191660999999999956e-02 5.083798500000000331e+00 -1.530630120000000094e+00 1.884458914699999923e+02 -2.050207350000000162e+01 4.511320400000000119e-01 3.416692484570562627e-01 1.083415922509511076e-01 9.995963480801636214e-01 9.962019527571517319e-01 9.962763371999353579e-01
5.005493163999999950e+01 -8.507099999999999645e-04 2.191362000000000171e-02 5.083502369999999715e+00 -1.530597970000000085e+00 1.884438911100000098e+02 -2.049329914999999858e+01 4.532907999999999937e-01 3.416026507270268908e-01 1.077890067373168947e-01 9.995964575324192136e-01 9.962053767624474698e-01 9.962771836895114586e-01
