# f, real(s11), imag(s11), real(s21), imag(s21), real(s22), imag(s22)
5.000000000000000000e+01 -5.987412240543284192e-03 6.960864496073401742e-03 8.303319235643707996e-01 -5.387315275734474440e-01 1.855072219994095828e-02 1.160924560559828400e-04
5.000610352000000347e+01 -5.986620519412733099e-03 6.961151098683504568e-03 8.302937618524458552e-01 -5.387888621238331455e-01 1.855120946146644745e-02 1.155882073869828226e-04
5.001220702999999901e+01 -5.985828821225773477e-03 6.961437630955788491e-03 8.302555962650809418e-01 -5.388461936363244664e-01 1.855169667655773291e-02 1.150838625750792710e-04
5.001831055000000248e+01 -5.985037143362001433e-03 6.961724093796251012e-03 8.302174266775624867e-01 -5.389035222989582152e-01 1.855218384683243737e-02 1.145794199774092560e-04
5.002441405999999802e+01 -5.984245488389702827e-03 6.962010486233807804e-03 8.301792532153121629e-01 -5.389608479240530770e-01 1.855267097071486293e-02 1.140748812566085187e-04
5.003051758000000149e+01 -5.983453853688695812e-03 6.962296809173949830e-03 8.301410757535901963e-01 -5.390181706996252098e-01 1.855315804982142491e-02 1.135702447691306488e-04
5.003662108999999703e+01 -5.982662241827155225e-03 6.962583061645905014e-03 8.301028944178436841e-01 -5.390754904380101742e-01 1.855364508257689726e-02 1.130655121783456091e-04
5.004272461000000050e+01 -5.981870650185232285e-03 6.962869244555226766e-03 8.300647090833065400e-01 -5.391328073272045884e-01 1.855413207059744551e-02 1.125606818400725143e-04
5.004882812000000314e+01 -5.981079081330921421e-03 6.963155356931496898e-03 8.300265198754509521e-01 -5.391901211795644411e-01 1.855461901230723298e-02 1.120557554183713132e-04
5.005493163999999950e+01 -5.980287532644630588e-03 6.963441399679887178e-03 8.299883266694854100e-01 -5.392474321830629247e-01 1.855510590932248072e-02 1.115507312684773863e-04
5.006103516000000297e+01 -5.979496005397461067e-03 6.963727372299131912e-03 8.299501295283211455e-01 -5.393047402439647975e-01 1.855559276086513054e-02 1.110456102273813667e-04
5.006713866999999851e+01 -5.978704500860396176e-03 6.964013274288666233e-03 8.299119285148965908e-01 -5.393620452685533584e-01 1.855607956615742959e-02 1.105403931327573683e-04
5.007324219000000198e+01 -5.977913016414232450e-03 6.964299106553106800e-03 8.298737235043797122e-01 -5.394193474447739334e-01 1.855656632681454421e-02 1.100350783389929255e-04
5.007934569999999752e+01 -5.977121554626756150e-03 6.964584868123263606e-03 8.298355146223067580e-01 -5.394766465850250325e-01 1.855705304126090138e-02 1.095296675116884215e-04
5.008544922000000099e+01 -5.976330112878819323e-03 6.964870559903912905e-03 8.297973017438197152e-01 -5.395339428772333301e-01 1.855753971111097356e-02 1.090241590046693403e-04
5.009155272999999653e+01 -5.975538693738319251e-03 6.965156180926294904e-03 8.297590849944790348e-01 -5.395912361338160990e-01 1.855802633478983998e-02 1.085185544842503375e-04
5.009765625000000000e+01 -5.974747294586253699e-03 6.965441732094609928e-03 8.297208642494013908e-01 -5.396485265426791411e-01 1.855851291391111269e-02 1.080128523035898958e-04
5.010375977000000347e+01 -5.973955916693765578e-03 6.965727212908751076e-03 8.296826395715425351e-01 -5.397058140101163026e-01 1.855899944769674736e-02 1.075070533009250470e-04
5.010986327999999901e+01 -5.973164561331970046e-03 6.966012622869409421e-03 8.296444110238834213e-01 -5.397630984424388600e-01 1.855948593536885238e-02 1.070011583150960732e-04
5.011596680000000248e+01 -5.972373225882267322e-03 6.966297962879716699e-03 8.296061784815011997e-01 -5.398203800275227504e-01 1.855997237854052628e-02 1.064951656983862890e-04
5.012207030999999802e+01 -5.971581912912186929e-03 6.966583231972939272e-03 8.295679420700196038e-01 -5.398776585778310988e-01 1.856045877563679281e-02 1.059890771188190528e-04
5.012817383000000149e+01 -5.970790619803323374e-03 6.966868431052104793e-03 8.295297016644895827e-01 -5.399349342812186370e-01 1.856094512827030640e-02 1.054828909280158822e-04
5.013427733999999703e+01 -5.969999349123379651e-03 6.967153559151104125e-03 8.294914573905608490e-01 -5.399922069501660316e-01 1.856143143486596592e-02 1.049766087946641009e-04
5.014038086000000050e+01 -5.969208098254054351e-03 6.967438617172444504e-03 8.294532091232570403e-01 -5.400494767725091405e-01 1.856191769703591232e-02 1.044702290697958544e-04
5.014648437999999686e+01 -5.968416868466580594e-03 6.967723604617358235e-03 8.294149569255782062e-01 -5.401067436545702316e-01 1.856240391400192091e-02 1.039637525928754913e-04
5.015258788999999950e+01 -5.967625661031934758e-03 6.968008520987688248e-03 8.293767008605489321e-01 -5.401640075026936660e-01 1.856289008498561433e-02 1.034571802040191828e-04
5.015869141000000297e+01 -5.966834473332245647e-03 6.968293367185518505e-03 8.293384408031544419e-01 -5.402212685046812179e-01 1.856337621159870332e-02 1.029505102533409718e-04
5.016479491999999851e+01 -5.966043307934938700e-03 6.968578142246079077e-03 8.293001768791072870e-01 -5.402785264730618486e-01 1.856386229226600348e-02 1.024437444111917818e-04
5.017089844000000198e+01 -5.965252162222343946e-03 6.968862847071044531e-03 8.292619089633664897e-01 -5.403357815956183474e-01 1.856434832859847617e-02 1.019368810271305444e-04
5.017700194999999752e+01 -5.964461038761699474e-03 6.969147480696366581e-03 8.292236371816702478e-01 -5.403930336848968841e-01 1.856483431902145043e-02 1.014299217721439592e-04
5.018310547000000099e+01 -5.963669934935661443e-03 6.969432044023497752e-03 8.291853614089510494e-01 -5.404502829286594867e-01 1.856532026514520761e-02 1.009228649951651562e-04
5.018920897999999653e+01 -5.962878853311398553e-03 6.969716536088674252e-03 8.291470817709728491e-01 -5.405075291394714210e-01 1.856580616539525719e-02 1.004157123679059495e-04
5.019531250000000000e+01 -5.962087791271726556e-03 6.970000957793189011e-03 8.291087981426416009e-01 -5.405647725050756192e-01 1.856629202138107559e-02 9.990846223864894779e-05
5.020141602000000347e+01 -5.961296750087802243e-03 6.970285308639516397e-03 8.290705105870128655e-01 -5.406220129318336509e-01 1.856677783232442425e-02 9.940111544847396105e-05
5.020751952999999901e+01 -5.960505731030525667e-03 6.970569588131289573e-03 8.290322191671677388e-01 -5.406792503261279581e-01 1.856726359744655108e-02 9.889367283905884515e-05
5.021362305000000248e+01 -5.959714731483163608e-03 6.970853797168788391e-03 8.289939237579727616e-01 -5.407364848756694986e-01 1.856774931835648845e-02 9.838613275776810635e-05
5.021972655999999802e+01 -5.958923754012641905e-03 6.971137934790025414e-03 8.289556244852551714e-01 -5.407937163930700564e-01 1.856823499347980133e-02 9.787849687801402146e-05
5.022583008000000149e+01 -5.958132796002303666e-03 6.971422001895072329e-03 8.289173212238558630e-01 -5.408509450660200502e-01 1.856872062442524451e-02 9.737076354657953070e-05
5.023193358999999703e+01 -5.957341860019081670e-03 6.971705997522462117e-03 8.288790140996270539e-01 -5.409081707071484724e-01 1.856920620961827195e-02 9.686293443753003427e-05
5.023803711000000050e+01 -5.956550943446610458e-03 6.971989922571968090e-03 8.288407029873839926e-01 -5.409653935041263129e-01 1.856969175066679190e-02 9.635500789703004346e-05
5.024414062000000314e+01 -5.955760048851649335e-03 6.972273776082588137e-03 8.288023880130033216e-01 -5.410226132696008827e-01 1.857017724599688280e-02 9.584698559978333671e-05
